Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
199000.0,Faro,Tavira,Conceição e Cabanas de Tavira,Apartment,C,70.0,1.0,True,2004.0,0,False,0,2.0,1.2,0.20000000000000207,70.0,1.0
255000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,Apartment,D,70.0,3.0,True,1991.0,0,True,0,2.0,1.0,0.0,70.0,2.0
249500.0,Faro,Tavira,Tavira (Santa Maria e Santiago),House,NC,27.0,0.0,False,2023.0,0,False,0,1.0,0.7999999999999999,0.0,33.0,1.0
370000.0,Faro,Olhão,Olhão,Apartment,B-,74.0,0.0,False,2010.0,0,True,0,2.0,1.0,0.4000000000000021,74.0,1.0
267500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,D,77.0,0.0,False,1992.0,0,False,0,1.0,1.5999999999999999,0.20000000000000207,77.0,2.0
189000.0,Faro,Portimão,Alvor,Apartment,D,187.0,0.0,False,1990.0,0,True,0,1.0,1.0,0.0,48.0,1.0
330000.0,Faro,Loulé,Quarteira,Apartment,D,90.0,1.0,True,1994.0,0,True,0,2.0,1.5999999999999999,0.7999999999999979,77.0,2.0
230000.0,Faro,Loulé,Quarteira,Apartment,C,60.0,0.0,False,1988.0,0,True,0,2.0,1.2,0.0,66.0,1.0
32000.0,Faro,Alcoutim,Alcoutim e Pereiro,House,NC,163.0,0.0,False,2001.0,0,False,0,2.0,2.4,0.0,163.0,1.0
13750.0,Faro,Portimão,Portimão,Apartment,NC,63.0,0.0,False,1991.0,0,True,0,1.0,1.5999999999999999,0.20000000000000207,63.0,1.0
242000.0,Faro,Tavira,Conceição e Cabanas de Tavira,Apartment,B,64.0,0.0,False,2005.0,0,False,0,1.0,1.0,0.4,58.0,1.0
